Sentence,Gold,Pred,stanza_Pred
"After 5 weeks of bupropion use , the subject experienced a generalized tonic clonic seizure after staying up nearly all night packing and moving to a new residence .","('generalized', 'O')","('generalized', 'B')","[[('generalized', 'VERB')]]"
"After 5 weeks of bupropion use , the subject experienced a generalized tonic clonic seizure after staying up nearly all night packing and moving to a new residence .","('tonic', 'O')","('tonic', 'I')","[[('tonic', 'NOUN')]]"
"After 5 weeks of bupropion use , the subject experienced a generalized tonic clonic seizure after staying up nearly all night packing and moving to a new residence .","('clonic', 'O')","('clonic', 'I')","[[('clonic', 'ADJ')]]"
"After 5 weeks of bupropion use , the subject experienced a generalized tonic clonic seizure after staying up nearly all night packing and moving to a new residence .","('seizure', 'B')","('seizure', 'I')","[[('seizure', 'NOUN')]]"
"In conclusion , there is no evidence for an inflammatory origin of succinylcholine - associated myalgia .","('succinylcholine', 'O')","('succinylcholine', 'B')","[[('succinylcholine', 'PROPN')]]"
There are no published ASA studies using the multiple dosing paradigm of GDs 6 to 17 .,"('ASA', 'O')","('ASA', 'B')","[[('ASA', 'PROPN')]]"
"METHODS : ASA was administered as a single dose on GD 9 ( 0 , 250 , 500 , or 625 mg / kg ) , 10 ( 0 , 500 , 625 , or 750 mg / kg ) , or 11 ( 0 , 500 , 750 , or 1000 mg / kg ) and from GD 6 to GD 17 ( 0 , 50 , 125 , or 250 mg / kg a day ) in the multiple dose study to SD rats .","('SD', 'O')","('SD', 'B')","[[('SD', 'PROPN')]]"
Potential deleterious effect of furosemide in radiocontrast nephropathy .,"('radiocontrast', 'O')","('radiocontrast', 'B')","[[('radiocontrast', 'NOUN')]]"
Potential deleterious effect of furosemide in radiocontrast nephropathy .,"('nephropathy', 'B')","('nephropathy', 'I')","[[('nephropathy', 'NOUN')]]"
The purpose of the study was to determine the efficacy of furosemide in addition to intravenous fluids in the prevention of radiocontrast nephropathy .,"('radiocontrast', 'O')","('radiocontrast', 'B')","[[('radiocontrast', 'NOUN')]]"
The purpose of the study was to determine the efficacy of furosemide in addition to intravenous fluids in the prevention of radiocontrast nephropathy .,"('nephropathy', 'B')","('nephropathy', 'I')","[[('nephropathy', 'NOUN')]]"
Furosemide may be deleterious in the prevention of radiocontrast nephropathy .,"('radiocontrast', 'O')","('radiocontrast', 'B')","[[('radiocontrast', 'NOUN')]]"
Furosemide may be deleterious in the prevention of radiocontrast nephropathy .,"('nephropathy', 'B')","('nephropathy', 'I')","[[('nephropathy', 'NOUN')]]"
Analysis of the manifestations showed that severe impairment of memory accounted for virtually all of the abnormalities .,"('impairment', 'O')","('impairment', 'B')","[[('impairment', 'NOUN')]]"
Analysis of the manifestations showed that severe impairment of memory accounted for virtually all of the abnormalities .,"('of', 'O')","('of', 'I')","[[('of', 'ADP')]]"
Analysis of the manifestations showed that severe impairment of memory accounted for virtually all of the abnormalities .,"('memory', 'O')","('memory', 'I')","[[('memory', 'NOUN')]]"
Cefotetan - induced immune hemolytic anemia .,"('immune', 'O')","('immune', 'B')","[[('immune', 'NOUN')]]"
Cefotetan - induced immune hemolytic anemia .,"('hemolytic', 'B')","('hemolytic', 'I')","[[('hemolytic', 'ADJ')]]"
Immune hemolytic anemia due to a drug - adsorption mechanism has been described primarily in patients receiving penicillins and first - generation cephalosporins .,"('Immune', 'O')","('Immune', 'B')","[[('Immune', 'NOUN')]]"
Immune hemolytic anemia due to a drug - adsorption mechanism has been described primarily in patients receiving penicillins and first - generation cephalosporins .,"('hemolytic', 'B')","('hemolytic', 'I')","[[('hemolytic', 'ADJ')]]"
"These observations , in conjunction with clinical and laboratory evidence of extravascular hemolysis , are consistent with drug - induced hemolytic anemia , possibly involving both drug - adsorption and autoantibody formation mechanisms .","('extravascular', 'O')","('extravascular', 'B')","[[('extravascular', 'ADJ')]]"
"These observations , in conjunction with clinical and laboratory evidence of extravascular hemolysis , are consistent with drug - induced hemolytic anemia , possibly involving both drug - adsorption and autoantibody formation mechanisms .","('hemolysis', 'B')","('hemolysis', 'I')","[[('hemolysis', 'NOUN')]]"
This case emphasizes the need for increased awareness of hemolytic reactions to all cephalosporins .,"('hemolytic', 'O')","('hemolytic', 'B')","[[('hemolytic', 'ADJ')]]"
"RESULTS : The replacement of the last dose or the last two doses of mesna with dexamethasone reduced the increase in bladder wet weight induced by IFS by 84 . 79 % and 89 . 13 % , respectively .","('IFS', 'O')","('IFS', 'B')","[[('IFS', 'PROPN')]]"
"In addition , it almost abolished the macroscopic and microscopic alterations induced by IFS .","('IFS', 'O')","('IFS', 'B')","[[('IFS', 'PROPN')]]"
"Loreclezole ( 5 mg / kg ) exerted a significant protective action in amygdala - kindled rats , reducing both seizure and afterdischarge durations .","('seizure', 'B')","('seizure', 'O')","[[('seizure', 'NOUN')]]"
We investigated the potential role of mitochondrial injury in the onset of these lesions .,"('mitochondrial', 'B')","('mitochondrial', 'O')","[[('mitochondrial', 'NOUN')]]"
We investigated the potential role of mitochondrial injury in the onset of these lesions .,"('injury', 'I')","('injury', 'O')","[[('injury', 'NOUN')]]"
PATIENT : A 58 - year - old woman with a clinical diagnosis of dilevalol - induced liver injury .,"('dilevalol', 'O')","('dilevalol', 'B')","[[('dilevalol', 'PROPN')]]"
PATIENT : A 58 - year - old woman with a clinical diagnosis of dilevalol - induced liver injury .,"('liver', 'B')","('liver', 'I')","[[('liver', 'NOUN')]]"
"Side effects of yohimbine included excessive sweating , increased anxiety , and a wound - up feeling in some patients .","('anxiety', 'B')","('anxiety', 'O')","[[('anxiety', 'NOUN')]]"
"Side effects of yohimbine included excessive sweating , increased anxiety , and a wound - up feeling in some patients .","('wound', 'O')","('wound', 'B')","[[('wound', 'NOUN')]]"
Optical coherence tomography can measure axonal loss in patients with ethambutol - induced optic neuropathy .,"('ethambutol', 'O')","('ethambutol', 'B')","[[('ethambutol', 'PROPN')]]"
"However , early on , when the toxic optic neuropathy is mild and partly reversible , the funduscopic findings are often subtle and easy to miss .","('toxic', 'O')","('toxic', 'B')","[[('toxic', 'ADJ')]]"
"However , early on , when the toxic optic neuropathy is mild and partly reversible , the funduscopic findings are often subtle and easy to miss .","('optic', 'B')","('optic', 'I')","[[('optic', 'NOUN')]]"
CONCLUSIONS : The OCT results in these patients with EMB - induced optic neuropathy show considerable loss especially of the temporal fibers .,"('EMB', 'O')","('EMB', 'B')","[[('EMB', 'PROPN')]]"
This is consistent with prior histopathological studies that show predominant loss of parvo - cellular axons ( or small - caliber axons ) within the papillo - macular bundle in toxic or hereditary optic neuropathies .,"('toxic', 'O')","('toxic', 'B')","[[('toxic', 'ADJ')]]"
This is consistent with prior histopathological studies that show predominant loss of parvo - cellular axons ( or small - caliber axons ) within the papillo - macular bundle in toxic or hereditary optic neuropathies .,"('or', 'O')","('or', 'I')","[[('or', 'CCONJ')]]"
This is consistent with prior histopathological studies that show predominant loss of parvo - cellular axons ( or small - caliber axons ) within the papillo - macular bundle in toxic or hereditary optic neuropathies .,"('hereditary', 'O')","('hereditary', 'I')","[[('hereditary', 'ADJ')]]"
This is consistent with prior histopathological studies that show predominant loss of parvo - cellular axons ( or small - caliber axons ) within the papillo - macular bundle in toxic or hereditary optic neuropathies .,"('optic', 'B')","('optic', 'I')","[[('optic', 'NOUN')]]"
"Additionally , in terms of management of EMB - induced optic neuropathy , it is important to properly manage ethambutol dosing in patients with renal impairment and to achieve proper transition to a maintenance dose once an appropriate loading dose has been reached .","('EMB', 'O')","('EMB', 'B')","[[('EMB', 'PROPN')]]"
"Abdominal ultrasound showed an adrenal mass , and postoperative histologic examination confirmed the diagnosis of pheochromocytoma .","('adrenal', 'O')","('adrenal', 'B')","[[('adrenal', 'NOUN')]]"
"Minor neurological dysfunction , cognitive development , and somatic development at the age of 3 to 7 years after dexamethasone treatment in very - low birth - weight infants .","('very', 'O')","('very', 'B')","[[('very', 'ADV')]]"
"Minor neurological dysfunction , cognitive development , and somatic development at the age of 3 to 7 years after dexamethasone treatment in very - low birth - weight infants .","('low', 'O')","('low', 'I')","[[('low', 'ADJ')]]"
"The objective of this study was to assess minor neurological dysfunction , cognitive development , and somatic development after dexamethasone therapy in very - low - birthweight infants .","('very', 'O')","('very', 'B')","[[('very', 'ADV')]]"
"Valproic acid I : time course of lipid peroxidation biomarkers , liver toxicity , and valproic acid metabolite levels in rats .","('liver', 'B')","('liver', 'O')","[[('liver', 'NOUN')]]"
"Valproic acid I : time course of lipid peroxidation biomarkers , liver toxicity , and valproic acid metabolite levels in rats .","('toxicity', 'I')","('toxicity', 'O')","[[('toxicity', 'NOUN')]]"
"EXPERIMENTAL DESIGN : Because of their widespread use , the hematologic toxicity following coadministration of dexrazoxane and these three structurally different DNA cleavage enhancers was investigated : Sensitivity of human and murine blood progenitor cells to etoposide , daunorubicin , and doxorubicin + / - dexrazoxane was determined in granulocyte - macrophage colony forming assays .","('hematologic', 'B')","('hematologic', 'O')","[[('hematologic', 'NOUN')]]"
"EXPERIMENTAL DESIGN : Because of their widespread use , the hematologic toxicity following coadministration of dexrazoxane and these three structurally different DNA cleavage enhancers was investigated : Sensitivity of human and murine blood progenitor cells to etoposide , daunorubicin , and doxorubicin + / - dexrazoxane was determined in granulocyte - macrophage colony forming assays .","('toxicity', 'I')","('toxicity', 'O')","[[('toxicity', 'NOUN')]]"
No malignant lesion was found .,"('malignant', 'O')","('malignant', 'B')","[[('malignant', 'NOUN')]]"
Human malignant brain tumors have a poor prognosis in spite of surgery and radiation therapy .,"('malignant', 'O')","('malignant', 'B')","[[('malignant', 'NOUN')]]"
Human malignant brain tumors have a poor prognosis in spite of surgery and radiation therapy .,"('brain', 'B')","('brain', 'I')","[[('brain', 'NOUN')]]"
"A rare cause , drug - induced vasculitis , may result from the production of antineutrophil cytoplasmic antibodies ( ANCAs ) in response to a medication .","('vasculitis', 'B')","('vasculitis', 'I')","[[('vasculitis', 'NOUN')]]"
"The diagnosis of propylthiouracil ( PTU ) - associated vasculitis was made by observation of consistent clinical features , the detection of elevated ANA and ANCA in the blood , and the observed clinical resolution of symptoms following withdrawal of PTU .","('propylthiouracil', 'O')","('propylthiouracil', 'B')","[[('propylthiouracil', 'PROPN')]]"
"The diagnosis of propylthiouracil ( PTU ) - associated vasculitis was made by observation of consistent clinical features , the detection of elevated ANA and ANCA in the blood , and the observed clinical resolution of symptoms following withdrawal of PTU .","('vasculitis', 'B')","('vasculitis', 'I')","[[('vasculitis', 'NOUN')]]"
"Although ribavirin - associated anemia can be reversed by dose reduction or discontinuation , this approach compromises outcomes by significantly decreasing SVR rates .","('SVR', 'O')","('SVR', 'B')","[[('SVR', 'PROPN')]]"
Recombinant human erythropoietin has been used to manage ribavirin - associated anemia but has other potential disadvantages .,"('ribavirin', 'O')","('ribavirin', 'B')","[[('ribavirin', 'NOUN')]]"
Recombinant human erythropoietin has been used to manage ribavirin - associated anemia but has other potential disadvantages .,"('anemia', 'B')","('anemia', 'I')","[[('anemia', 'NOUN')]]"
This study examined the utility of biometry for detecting alcohol - related fetal growth impairment .,"('alcohol', 'O')","('alcohol', 'B')","[[('alcohol', 'NOUN')]]"
This study examined the utility of biometry for detecting alcohol - related fetal growth impairment .,"('fetal', 'O')","('fetal', 'B')","[[('fetal', 'NOUN')]]"
This study examined the utility of biometry for detecting alcohol - related fetal growth impairment .,"('growth', 'B')","('growth', 'I')","[[('growth', 'NOUN')]]"
Amphetamine abuse was predictive of larger cranial to body growth ratios .,"('Amphetamine', 'O')","('Amphetamine', 'B')","[[('Amphetamine', 'NOUN')]]"
Ethambutol - associated optic neuropathy .,"('Ethambutol', 'O')","('Ethambutol', 'B')","[[('Ethambutol', 'PROPN')]]"
CLINICAL PICTURE : Three patients with ethambutol - associated toxic optic neuropathy are described .,"('toxic', 'O')","('toxic', 'B')","[[('toxic', 'ADJ')]]"
CLINICAL PICTURE : Three patients with ethambutol - associated toxic optic neuropathy are described .,"('optic', 'B')","('optic', 'I')","[[('optic', 'NOUN')]]"
"The author postulates that in cases of ethambutol associated chiasmopathy , ethambutol may initially affect the optic nerves and subsequently progress to involve the optic chiasm .","('chiasmopathy', 'O')","('chiasmopathy', 'B')","[[('chiasmopathy', 'PROPN')]]"
"7 days later , the fever disappeared and the patient ' s serum CPK levels were normalized ( 175 IU / L ) .","('fever', 'B')","('fever', 'O')","[[('fever', 'NOUN')]]"
Co - administration of lidocaine with desipramine reversed the changes of convulsive activity of lidocaine and cocaine induced by repeated administration of desipramine .,"('convulsive', 'B')","('convulsive', 'O')","[[('convulsive', 'ADJ')]]"
This suggests that alpha - TC and DFO ameliorate the MA - induced neuronal damage by decreasing the level of oxidative stress .,"('MA', 'O')","('MA', 'B')","[[('MA', 'PROPN')]]"
This suggests that alpha - TC and DFO ameliorate the MA - induced neuronal damage by decreasing the level of oxidative stress .,"('neuronal', 'B')","('neuronal', 'O')","[[('neuronal', 'ADJ')]]"
This suggests that alpha - TC and DFO ameliorate the MA - induced neuronal damage by decreasing the level of oxidative stress .,"('damage', 'I')","('damage', 'O')","[[('damage', 'NOUN')]]"
"In this report , we encountered a patient with decompensated HBV - related cirrhosis who exhibited the dramatic improvements after antiviral therapy .","('decompensated', 'O')","('decompensated', 'B')","[[('decompensated', 'VERB')]]"
"In this report , we encountered a patient with decompensated HBV - related cirrhosis who exhibited the dramatic improvements after antiviral therapy .","('HBV', 'O')","('HBV', 'I')","[[('HBV', 'PROPN')]]"
"In this report , we encountered a patient with decompensated HBV - related cirrhosis who exhibited the dramatic improvements after antiviral therapy .","('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
"In this report , we encountered a patient with decompensated HBV - related cirrhosis who exhibited the dramatic improvements after antiviral therapy .","('related', 'O')","('related', 'I')","[[('related', 'ADJ')]]"
"In this report , we encountered a patient with decompensated HBV - related cirrhosis who exhibited the dramatic improvements after antiviral therapy .","('cirrhosis', 'B')","('cirrhosis', 'I')","[[('cirrhosis', 'NOUN')]]"
"The administration of lamivudine to patients with HBV - related cirrhosis , like our present case , should be considered as an initial medical therapeutic option , especially in countries where liver transplantation is not reliably available .","('HBV', 'O')","('HBV', 'B')","[[('HBV', 'PROPN')]]"
"The administration of lamivudine to patients with HBV - related cirrhosis , like our present case , should be considered as an initial medical therapeutic option , especially in countries where liver transplantation is not reliably available .","('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
"The administration of lamivudine to patients with HBV - related cirrhosis , like our present case , should be considered as an initial medical therapeutic option , especially in countries where liver transplantation is not reliably available .","('related', 'O')","('related', 'I')","[[('related', 'ADJ')]]"
"The administration of lamivudine to patients with HBV - related cirrhosis , like our present case , should be considered as an initial medical therapeutic option , especially in countries where liver transplantation is not reliably available .","('cirrhosis', 'B')","('cirrhosis', 'I')","[[('cirrhosis', 'NOUN')]]"
Intravenous phenytoin was administered during the later part of the surgery for seizure prophylaxis .,"('seizure', 'B')","('seizure', 'O')","[[('seizure', 'NOUN')]]"
Specific gravity ( SG ) was determined in the subcortex and in two sites in the cortex ( core and periphery of the ischemic territory ) .,"('ischemic', 'B')","('ischemic', 'O')","[[('ischemic', 'NOUN')]]"
"The extent of neuronal injury was determined by 2 , 3 , 5 - triphenyltetrazolium staining .","('neuronal', 'B')","('neuronal', 'O')","[[('neuronal', 'ADJ')]]"
"The extent of neuronal injury was determined by 2 , 3 , 5 - triphenyltetrazolium staining .","('injury', 'I')","('injury', 'O')","[[('injury', 'NOUN')]]"
"In the ischemic core , there was no difference in SG in the subcortex and cortex in the two groups .","('ischemic', 'B')","('ischemic', 'O')","[[('ischemic', 'NOUN')]]"
"Earlier studies have demonstrated that antagonism of sigma1 receptors attenuates the convulsive , lethal , locomotor stimulatory and rewarding actions of cocaine in mice .","('convulsive', 'B')","('convulsive', 'O')","[[('convulsive', 'ADJ')]]"
"Without the knowledge of the medical personnel , the patient ' s mother administered three doses of clonidine during the evening before and morning of surgery to reduce anxiety .","('anxiety', 'B')","('anxiety', 'O')","[[('anxiety', 'NOUN')]]"
Angiotensin - converting enzyme ( ACE ) inhibitor - associated angioedema of the stomach and small intestine : a case report .,"('Angiotensin', 'O')","('Angiotensin', 'B')","[[('Angiotensin', 'NOUN')]]"
Angiotensin - converting enzyme ( ACE ) inhibitor - associated angioedema of the stomach and small intestine : a case report .,"('of', 'O')","('of', 'I')","[[('of', 'ADP')]]"
Angiotensin - converting enzyme ( ACE ) inhibitor - associated angioedema of the stomach and small intestine : a case report .,"('the', 'O')","('the', 'I')","[[('the', 'DET')]]"
Angiotensin - converting enzyme ( ACE ) inhibitor - associated angioedema of the stomach and small intestine : a case report .,"('stomach', 'O')","('stomach', 'I')","[[('stomach', 'NOUN')]]"
Angiotensin - converting enzyme ( ACE ) inhibitor - associated angioedema of the stomach and small intestine : a case report .,"('and', 'O')","('and', 'I')","[[('and', 'CCONJ')]]"
Angiotensin - converting enzyme ( ACE ) inhibitor - associated angioedema of the stomach and small intestine : a case report .,"('small', 'O')","('small', 'I')","[[('small', 'ADJ')]]"
Angiotensin - converting enzyme ( ACE ) inhibitor - associated angioedema of the stomach and small intestine : a case report .,"('intestine', 'O')","('intestine', 'I')","[[('intestine', 'NOUN')]]"
"From the analysis of these cases , two distinct forms of carbamazepine - associated cardiac dysfunction emerged .","('carbamazepine', 'O')","('carbamazepine', 'B')","[[('carbamazepine', 'NOUN')]]"
"Because carbamazepine is widely used in the treatment of many neurologic and psychiatric conditions , the recognition of the latter syndrome has important implications for the use of this drug in elderly patients .","('neurologic', 'O')","('neurologic', 'B')","[[('neurologic', 'ADJ')]]"
"Because carbamazepine is widely used in the treatment of many neurologic and psychiatric conditions , the recognition of the latter syndrome has important implications for the use of this drug in elderly patients .","('and', 'O')","('and', 'I')","[[('and', 'CCONJ')]]"
"Because carbamazepine is widely used in the treatment of many neurologic and psychiatric conditions , the recognition of the latter syndrome has important implications for the use of this drug in elderly patients .","('psychiatric', 'B')","('psychiatric', 'I')","[[('psychiatric', 'ADJ')]]"
"Because carbamazepine is widely used in the treatment of many neurologic and psychiatric conditions , the recognition of the latter syndrome has important implications for the use of this drug in elderly patients .","('conditions', 'O')","('conditions', 'I')","[[('conditions', 'NOUN')]]"
Detection of abnormal cardiac adrenergic neuron activity in adriamycin - induced cardiomyopathy with iodine - 125 - metaiodobenzylguanidine .,"('adriamycin', 'O')","('adriamycin', 'B')","[[('adriamycin', 'NOUN')]]"
"Using a rat model of adriamycin - induced cardiomyopathy , we tested the hypothesis that abnormal cardiac adrenergic neuron activity may appear and be exacerbated dose - dependently in adriamycin cardiomyopathy .","('adriamycin', 'O')","('adriamycin', 'B')","[[('adriamycin', 'NOUN')]]"
"Using a rat model of adriamycin - induced cardiomyopathy , we tested the hypothesis that abnormal cardiac adrenergic neuron activity may appear and be exacerbated dose - dependently in adriamycin cardiomyopathy .","('adriamycin', 'O')","('adriamycin', 'B')","[[('adriamycin', 'NOUN')]]"
"Using a rat model of adriamycin - induced cardiomyopathy , we tested the hypothesis that abnormal cardiac adrenergic neuron activity may appear and be exacerbated dose - dependently in adriamycin cardiomyopathy .","('cardiomyopathy', 'B')","('cardiomyopathy', 'I')","[[('cardiomyopathy', 'NOUN')]]"
"There were no abnormalities or only isolated degeneration in the 1 - or 2 - wk treatment groups , isolated or scattered degeneration in half of the 3 - wk group , frequent scattered degeneration in the 4 - wk group , scattered or focal degeneration in the 5 - wk group , and extensive degeneration in the 8 - wk group .","('degeneration', 'O')","('degeneration', 'I')","[[('degeneration', 'NOUN')]]"
"There were no abnormalities or only isolated degeneration in the 1 - or 2 - wk treatment groups , isolated or scattered degeneration in half of the 3 - wk group , frequent scattered degeneration in the 4 - wk group , scattered or focal degeneration in the 5 - wk group , and extensive degeneration in the 8 - wk group .","('degeneration', 'O')","('degeneration', 'B')","[[('degeneration', 'NOUN')]]"
"There were no abnormalities or only isolated degeneration in the 1 - or 2 - wk treatment groups , isolated or scattered degeneration in half of the 3 - wk group , frequent scattered degeneration in the 4 - wk group , scattered or focal degeneration in the 5 - wk group , and extensive degeneration in the 8 - wk group .","('degeneration', 'O')","('degeneration', 'I')","[[('degeneration', 'NOUN')]]"
"There were no abnormalities or only isolated degeneration in the 1 - or 2 - wk treatment groups , isolated or scattered degeneration in half of the 3 - wk group , frequent scattered degeneration in the 4 - wk group , scattered or focal degeneration in the 5 - wk group , and extensive degeneration in the 8 - wk group .","('degeneration', 'O')","('degeneration', 'I')","[[('degeneration', 'NOUN')]]"
"There were no abnormalities or only isolated degeneration in the 1 - or 2 - wk treatment groups , isolated or scattered degeneration in half of the 3 - wk group , frequent scattered degeneration in the 4 - wk group , scattered or focal degeneration in the 5 - wk group , and extensive degeneration in the 8 - wk group .","('degeneration', 'O')","('degeneration', 'I')","[[('degeneration', 'NOUN')]]"
The findings showed that peripheral iron dextran overload increased the iron staining positive cells and reduced the number of TH - immunoreactive neurons in the SN .,"('dextran', 'O')","('dextran', 'I')","[[('dextran', 'NOUN')]]"
The findings showed that peripheral iron dextran overload increased the iron staining positive cells and reduced the number of TH - immunoreactive neurons in the SN .,"('overload', 'O')","('overload', 'I')","[[('overload', 'NOUN')]]"
Even more dramatic changes were found in chronic overload group .,"('chronic', 'O')","('chronic', 'B')","[[('chronic', 'ADJ')]]"
Even more dramatic changes were found in chronic overload group .,"('overload', 'O')","('overload', 'I')","[[('overload', 'NOUN')]]"
"Phenobarbital ( PB ) has a reputation for safety , and it is commonly believed that PB - related increases in serum aminotransferase levels do not indicate or predict the development of significant chronic liver disease .","('chronic', 'O')","('chronic', 'B')","[[('chronic', 'ADJ')]]"
"Phenobarbital ( PB ) has a reputation for safety , and it is commonly believed that PB - related increases in serum aminotransferase levels do not indicate or predict the development of significant chronic liver disease .","('liver', 'B')","('liver', 'I')","[[('liver', 'NOUN')]]"
"Our findings illustrate that PB may be associated with chronic liver damage , which may lead to more serious and deleterious consequences .","('PB', 'O')","('PB', 'B')","[[('PB', 'PROPN')]]"
"Our findings illustrate that PB may be associated with chronic liver damage , which may lead to more serious and deleterious consequences .","('liver', 'B')","('liver', 'I')","[[('liver', 'NOUN')]]"
"For this reason , each clinician should recognize this entity in the differential diagnosis of PB - related asymptomatic chronic hepatic enzyme dysfunction .","('PB', 'O')","('PB', 'B')","[[('PB', 'PROPN')]]"
"For this reason , each clinician should recognize this entity in the differential diagnosis of PB - related asymptomatic chronic hepatic enzyme dysfunction .","('chronic', 'B')","('chronic', 'O')","[[('chronic', 'ADJ')]]"
"RESULTS : We identified 27 reports of toxic leukoencephalopathy in patients treated with methotrexate ( intrathecal , systemic ) , 5 - fluorouracil and its derivative carmofur , and capecitabine .","('toxic', 'O')","('toxic', 'B')","[[('toxic', 'ADJ')]]"
"RESULTS : We identified 27 reports of toxic leukoencephalopathy in patients treated with methotrexate ( intrathecal , systemic ) , 5 - fluorouracil and its derivative carmofur , and capecitabine .","('leukoencephalopathy', 'B')","('leukoencephalopathy', 'I')","[[('leukoencephalopathy', 'NOUN')]]"
Complete resolution of symptoms within 1 - 4 days was accompanied by normalisation of ADC abnormalities .,"('ADC', 'O')","('ADC', 'B')","[[('ADC', 'PROPN')]]"
Complete resolution of symptoms within 1 - 4 days was accompanied by normalisation of ADC abnormalities .,"('abnormalities', 'O')","('abnormalities', 'I')","[[('abnormalities', 'NOUN')]]"
CONCLUSIONS : Several pathophysiological models of delayed leukoencephalopathy after exposure to intrathecal or systemic chemotherapy have been proposed .,"('delayed', 'O')","('delayed', 'B')","[[('delayed', 'VERB')]]"
CONCLUSIONS : Several pathophysiological models of delayed leukoencephalopathy after exposure to intrathecal or systemic chemotherapy have been proposed .,"('leukoencephalopathy', 'B')","('leukoencephalopathy', 'I')","[[('leukoencephalopathy', 'NOUN')]]"
Dexmedetomidine and cardiac protection for non - cardiac surgery : a meta - analysis of randomised controlled trials .,"('non', 'O')","('non', 'B')","[[('non', 'ADV')]]"
Dexmedetomidine and cardiac protection for non - cardiac surgery : a meta - analysis of randomised controlled trials .,"('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
Dexmedetomidine and cardiac protection for non - cardiac surgery : a meta - analysis of randomised controlled trials .,"('cardiac', 'O')","('cardiac', 'I')","[[('cardiac', 'ADJ')]]"
Dexmedetomidine and cardiac protection for non - cardiac surgery : a meta - analysis of randomised controlled trials .,"('surgery', 'O')","('surgery', 'I')","[[('surgery', 'NOUN')]]"
We conducted a systematic review of the effects of dexmedetomidine on cardiac outcomes following non - cardiac surgery .,"('non', 'O')","('non', 'B')","[[('non', 'ADV')]]"
We conducted a systematic review of the effects of dexmedetomidine on cardiac outcomes following non - cardiac surgery .,"('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
We conducted a systematic review of the effects of dexmedetomidine on cardiac outcomes following non - cardiac surgery .,"('cardiac', 'O')","('cardiac', 'I')","[[('cardiac', 'ADJ')]]"
"However , no significant effects were found with other visual analog scales reflecting subjective sedation and clear - headedness .","('clear', 'O')","('clear', 'B')","[[('clear', 'ADJ')]]"
"However , no significant effects were found with other visual analog scales reflecting subjective sedation and clear - headedness .","('-', 'O')","('-', 'I')","[[('-', 'PUNCT')]]"
"However , no significant effects were found with other visual analog scales reflecting subjective sedation and clear - headedness .","('headedness', 'O')","('headedness', 'I')","[[('headedness', 'NOUN')]]"
High dose dexmedetomidine as the sole sedative for pediatric MRI .,"('MRI', 'O')","('MRI', 'B')","[[('MRI', 'NOUN')]]"
Dexmedetomidine is useful as the sole sedative for pediatric MRI .,"('MRI', 'O')","('MRI', 'B')","[[('MRI', 'NOUN')]]"
BACKGROUND : Spontaneous reporting systems for adverse drug reactions ( ADRs ) are handicapped by under - reporting and limited detail on individual cases .,"('adverse', 'O')","('adverse', 'B')","[[('adverse', 'NOUN')]]"
BACKGROUND : Spontaneous reporting systems for adverse drug reactions ( ADRs ) are handicapped by under - reporting and limited detail on individual cases .,"('drug', 'O')","('drug', 'I')","[[('drug', 'NOUN')]]"
BACKGROUND : Spontaneous reporting systems for adverse drug reactions ( ADRs ) are handicapped by under - reporting and limited detail on individual cases .,"('ADRs', 'O')","('ADRs', 'B')","[[('ADRs', 'NOUN')]]"
We report an investigation from a local surveillance for serious adverse drug reactions associated with disease modifying anti - rheumatic drugs that was triggered by the occurrence of liver failure in two of our patients .,"('rheumatic', 'O')","('rheumatic', 'I')","[[('rheumatic', 'ADJ')]]"
METHODS : Serious ADR reports have been solicited from local clinicians by regular postcards over the past seven years .,"('ADR', 'O')","('ADR', 'B')","[[('ADR', 'PROPN')]]"
"The data suggest that in VIP ( - / - ) mice with bladder inflammation , inflammatory mediators are increased above that observed in WT with CYP .","('CYP', 'O')","('CYP', 'B')","[[('CYP', 'PROPN')]]"
"The two metabolic phenotypes , extensive ( EM ) and poor metabolizers ( PM ) , show different stereoselective metabolism , resulting in apparently higher beta - 1 adrenoceptor antagonistic potency of racemic metoprolol in EMs .","('EMs', 'O')","('EMs', 'B')","[[('EMs', 'NOUN')]]"
"By using pharmacokinetic pharmacodynamic modeling the pharmacodynamics of racemic metoprolol and the active S - isomer , were quantitated in EMs and PMs in terms of IC50 values , representing metoprolol plasma concentrations resulting in half - maximum receptor occupancy .","('EMs', 'O')","('EMs', 'B')","[[('EMs', 'NOUN')]]"
"By using pharmacokinetic pharmacodynamic modeling the pharmacodynamics of racemic metoprolol and the active S - isomer , were quantitated in EMs and PMs in terms of IC50 values , representing metoprolol plasma concentrations resulting in half - maximum receptor occupancy .","('PMs', 'O')","('PMs', 'B')","[[('PMs', 'NOUN')]]"
"In PMs , metoprolol increased the terbutaline area under the plasma concentration vs . time curve ( + 67 % ) .","('PMs', 'O')","('PMs', 'B')","[[('PMs', 'NOUN')]]"
Higher metoprolol / alpha - hydroxymetoprolol ratios in PMs were predictive for higher R - / S - isomer ratios of unchanged drug .,"('PMs', 'O')","('PMs', 'B')","[[('PMs', 'NOUN')]]"
